question,answer
"Alcohol content","There isn't any. It's like root beer except instead of made with sasparilla it is made with ginger. It is fantastic though. Goes really well with rum also"
"$2.78 at Walmart yesterday..why are you charging such USURIOUS prices?????","We don't create the prices here at Vaneli's. The price is set according to our vendor pricing."
"$80.97 for 8 ounces?","Plugra European-Style Butter - Unsalted (8 ounce) by Plugra Price: $5.99 + shipping"
". pattersons","what was the question?"
"10 calorie cocoa mix: Does anyone know anything about the 10 calorie swiss miss packets.","So, so bad... mix will not dissolve no matter how hot the water or how long you stir..."
"16.63/oz or 16.63 the whole box?","16.63 THE WHOLE BOX....EACH BAG IS 8OZ.....24 BAGS TOTAL....YUM..."
"192 Ounces?","Hmmm....must be that new math where you drop the decimal point completely out of the equation."
"1lb = 453.592grams and not 750grams. Which weight is correct?","There is a comma there indicating there is more than 1lb. Its a 1lb, 10.5 oz box. AKA 26.5oz or 750 grams."
"23 bucks for 1 package?","tbh it used to be 3.99 but i think it changed so yeah... but get it somewhere else too"
"About how many seeds are in each package?","A good handful"
"ABOUT HOW MANY VANILLA BEANS ARE IN A 1/4 LB?","I had 52 in mine."
"additives or preservatives?","I don't think so. It was delicious. We eat a lot of popcorn and have switched to organic. This brand was very good."
"Am I missing it? I don't see if these are pitted. Thank you","They are absolutely pitted...and consistently great."
"Am I understanding correctly that this listing is for 6, 48-ounce bags?","That is correct - one case, or six bags, each 3 pounds (48 ounces) in weight."
"Amount to use? How much powder equals one egg?","1 to one ratio. ie: 1teaspoon to 1 teaspoon"
"Any additived such as BHA?","Yes there is BHA , Proply Gallate and Citric Acid. Also it is a mix of Lard and Hydrogenated Lard."
"Any bigger pack available? Is it suitable for Canon Pixma MP287 or Epson L210 printers?","Yes, 4 of 8 oz can b"
"ANY HIGH FRUTOSE CORN SYRUP IN THIS?","Don't see anything on can saying it has any. This sauce is organic Their web site says no, hope this helps."
"Any idea about how many cookies per pound box?","I would estimate it to be probably around 10-15 of them."
"Any idea how many cups of hemp seeds you get from 1 pound?","There are 15 suggested servings of 3 tablespoons each in the package, so that ends up being a bit less than 3 cups in the package."
"Any idea how many pieces per container?","Per the container 25.5 pieces."
"Anyone know how many gummy worms are in a package?","About 50 to 100 or more pieces"
"anyone use them with a B40 Keurig","I have not, but mine is a k40 and it doesn't work with that model."
"Anyone use them with a K45?","Yes I have used them for a year now work great"
"Anything I can do to lessen the salty taste ?","Maybe use unsalted butter. Most of us like the salty taste and that is why we make them. Good luck."
"approx how many sticks per bag?","I estimate there are about 100 sticks in the bag. There are 6-7 sticks per ounce. Figuring 16 ounces times 6 sticks per ounce yields 96 sticks. I hope this helps!"
"Approximately how many cups is in this 1lb bag? Thanks!","I would estimate about 4 cups, whether you pack or scoop."
"Approximately how many shark gummies are there?","About 30 as I recall."
"Are all 6 of these medium ground or a variety of grinds?","The ones I received were all medium ground."
"Are all the bars the same size? Compared to the other boxes- meaning do the bars come in different sizes themselves??","They are all the same size."
"Are all the flavors of Larabar non-GMO?","Yes!"
"Are any of these gluten-free? Thank you!","Sorry- all contain wheat gluten"
"Are KIND bars made with fair trade chocolate?","That's a good question. I don't think tho. Sorry I couldn't be much help."
"Are other flavors available? I'm looking for Strawberry/Mango","I currently am out of stock on this flavor."
"Are sodium amounts listed?","115 mg sodium per 3 tbs serving"
"Are the 4 different seeds packaged seperately or all mixed together ?","They are all mixed together."
"Are the bottle glass or plastic?","Glass."
"Are the bottles glass or plastic?","These came in glass bottles."
"Are the bottles plastic or glass -- we would like to use at the co picnic","Thanks for the interest in our products! The bottles are plastic."
"Are the candies individually wrapped?","Not individually wrapped when I bought them, two years ago, but the package was sealed up in celophane well."
"Are the cherries sweetened with high fructose corn syrup or with sugar?","Both corn syrup and high fructose corn syrup."
"Are the Kirkland mixed nuts roasted? As it not labeled might meant fried with oil used repeatedly, hence the nuts is unhealthy.","They are roasted (not dry roasted or raw.)"
"Are the leaves dry or moist ?","Dry and crumble in blender when making smoothie."
"Are the pieces are individually wrapped? I need them individually wrapped. Please confirm.","Yes, they are individually wrapped."
"Are the raspberries grown in the U.S.?","Mother Earth Products claims they deal only with USA companies."
"Are the seeds light colored rather than dark? Look for light colored.","dark and light"
"Are the tote bags for sale the exact bag pictured??","That's the bag that I got when I ordered mine about 4 months ago...."
"Are the wild blueberries you use pesticide free?","Yes, this product is totally pure and the best antioxidant available. We buy it by regularly and drink a bottle or two a day. Lisa"
"are there 2 different kinds of this cocoa? the cocoa in the new box seems different than the old box . any thoughts?","Yes, Vairhona has a lighter mor agreeable taste"
"Are there any nut or peanut ingredients?","It doesn't have any nuts or peanut ingredients. But I can not guarantee that they prepare it in a free nuts factory. Its all written in Chinese."
"are there any preservatives in this product?","Yes, but we do carry Organic Apple Rings that do not have any preservatives.~"
"are there dried onions in the pkg","No...just potatoes.........but I do add 1/2 grated onion before the hot water.....very easy. These are really good ........worth playing with!"
"Are there seeds &amp; skin?","If there are we sure don't notice them. These are still the only canned tomatoes that we will use."
"Are these 100% white mulberry tea leaves?","Yes, the product is 100% pure white mulberry tea leaves"
"Are these a US product?","No they are a product of Thailand."
"Are these all Whole Grains or will their be any amount of broken or cracked grains?","Whole grain is what I received."
"Are these almonds pasteurized?","yes...unfortunately"
"are these almonds sproutable?","I have no idea! Sorry! Ask the company that produces them! :D"
"Are these almonds treated with PPO (propylene oxide)?","Don't know about ppo, but these were the worst, driest old nasty excuse for almonds I ever regretted buying"
"Are these anything like slim hims in flavor and texture?","I would say they are more mild in flavor than Slim Jims."
"Are these apricots Kosher?","Probably not."
"Are these beans shipped vacuum sealed?","Yes they are vacuum sealed. They were very moist and fragrant. I have purchased twice from OliveNation."
"Are these BPA free?","I'm not sure, but I'm not too concerned since these are only used to rinse the seeds with (strain the water from the sprouts). They work well."
"are these candies considered Kosher?","I am sorry, but I do not know."
"are these chia seeds organic?","The Chia Company doesn't advertise their seeds as being organic, however, they do say their seeds are are ripened under the sun and are chemical free."
"Are these chips baked or fried?","The chips are fried. However, I should mention that although they are fried, the chips are not greasy at all."
"Are these chocolate coins a better investment than say, chocolate mutual funds?","Tastier"
"Are these cranberries grown in the USA?","Their website says the company is in Traverse City, MI and they claim all of their fruit in USA grown."
"Are these dates raw?","They are organic and raw ."
"Are these fair trade?","It do not say on the bag"
"Are these flip-top cans, or do you need a can opener? TIA.","Can opener."
"Are these fresh or dried?","Dried"
"are these from the 2014 crop?","I am pretty sure they aren't. They were very stale tasting and dark colored, not like fresh pecans."
"Are these GMO-free?","No genetically modified varieties of oats exist. So all oatmeal is GMO free."
"Are these granules?","Yes, they are granules. 1/16 pieces of roasted chicory root, not soluble."
"Are these grown and harvested in US?","Don't know orgin.need to wash thoroughly.tough bland....add to miso soup.goes a long way"
"are these hearty meals gluten and casein free","I don't think so. It doesn't say they are anywhere on the packages."
"Are these individual packets or a 12.1 oz container? Thank you.","This is one package of miso paste. The photo showing the miso cup instant soup is incorrect. The product is actually miso paste."
"Are these individually wrapped? And are there 15 bars total? Thanks!","individually wrapped. I dont remember how many came in a box but 15 in a box sounds about right, I recieved 3 boxes"
"Are these items shipped frozen?","Yes...very professionally and quickly."
"are these kosher?","I think so."
"Are these made in the USA? What about taste?","Yes, There made in the US, Placentia California, There's no taste, it's just food coloring. Hope these answers help"
"Are these made with Lard?","Hi, no lard in this product. They are made with butter. They are great!!"
"Are these millet grain sticky after cooked, like the type grown in northeast China?","I believe they are sticky. I cook them till the water is gone. And I don't rinse them like rice."
"are these mini or regular size bears?","Regular size"
"Are these minis or full size?","Full sized."
"Are these noodles gluten free?","I just checked a package. The #1 ingredient is enriched wheat flour and the package doesn't say gluten free. So, I seriously doubt they are gluten free. Sorry!"
"Are these nuts organic, or not? The description says yes. But the actual product doesn't","I thought they were but how do we really know?"
"Are these nuts produced in a facility that also produces WHEAT or WHEAT products?","Presently no, our Brazil Nuts are packaged in a wheat free facility."
"Are these organic ?","No, sorry, they are not Organic."
"Are these organic pine nuts raw?","i believe so - they are very good but i will discontinue buying as they come from china."
"Are these organic? I want to sell extract and would like to know if I could put in on the label.","No, they are not."
"Are these organic?","It does not say that they are on the packaging. I would assume no."
"Are these packaged in their own Pita Chips box or as a bag that gets thrown in with other items?","they were their own box when i got them."
"are these pasturised?","Yes, they are pasteurized to protect from possible salmonella."
"Are these pecans processed in a gluten free facility?","Sorry unable to help you out. They do not supply which orchard they were picked or where they are proccessed."
"Are these processed with lime?","Sorry, have no idea. I would call the company."
"ARe these raw and organic honey sticks?","package does not say raw or organic."
"are these raw chia seeds","Yes, they are raw."
"Are these raw?","yep"
"are these ready to eat or do you have to remove shells? Thanks.","Ready to eat out of the bag."
"Are these reconstituted into the shape of peas, or are they somehow dried as whole pea pods?","They are reconstituted in the shape of a pea pod"
"are these ring pops kosher?","Yes they are. It does not say on the box but they are individually stamped ou"
"Are these seeds roasted or fresh?","the seeds are raw"
"Are these tea bags single serving or for making a whole pitcher?","Single servings"
"Are these the certs rolls or flat pieces?","these are the old fashioned rolls"
"Are these the color shown or are they white?","Mine were the colour shown but I ordered them about 6 months ago so I can't say for sure that they haven't changed."
"Are these the kernals, or in the shell?","They are in the shell."
"are these the mini fish or the full sized candy?","Full Size."
"Are these the perforated sheets for putting on mochi or are they one big sheet for making sushi?","Big sheets for sushi"
"Are these the same 4lb Himalayan salt bricks that they sell at Southern States by the tack?","Not sure but they work very well."
"are these the same sugar twin packets that weight 0.0282 oz each","I just looked and it says 0.028 so I would say yes."
"Are these tins BPA-free?","Yes, they are! https://www.facebook.com/KingOscarSeafood/posts/251520238196956"
"Are these toasted or cooked in any way before they are cut?","There is no indication of toasting or pre-cooking on the package. I would suggest you go directly to www.bobsredmill.com"
"Are these trays BPA free?","http://www.sprouthouse.com/Sprout_Master_Triple_Sprouter_p/smtriple.htm"
"Are these unhulled?","The hemp seeds are hulled; this manufacturer calls it 'shelled'. The direct answer to your question is, No. Hope that helps!"
"Are these unsalted?","Yes. Unsalted."
"are these whole figs or dried figs im looking for fresh whole figgs not dried figgs","These are dried figs."
"Are they BPA free","Yes, they are! Says so right on the front of the box in the lower left corner..."
"Are they free of coconut?","if i remember correctly, the ingredient lists do not have coconut as an ingredient."
"ARE THEY FRESH AND NOT OUTDATED?","Yes, they were fresh. I liked them but they are very sticky. I tried both the fruit & nut and the coconut ones."
"Are they from China?","Product of China packages in NY"
"are they gluten free?","Hi, Does not look like gluten free. You can see the spec sheet at this url http://www.joesculinary.com/PDF%20Files/tartlett%20spec.pdf Thanks, Joe"
"Are they gluten free?","Yes. They are wheat and gluten free. I have Celiac and can take these without issue. I hope they work for you."
"Are they guaranteed fresh?","Extremely fresh, and not one bag had broken chips!"
"are they gummy or hard?","Gummy:) a little softer them gummi bears but not too much. Bought them for my dad and he raved about them"
"Are they individually wrapped?","The sticks are not individually wrapped."
"are they indiviually wrapped in each box?","No, all of the teabags are in a wax paper bag"
"are they kosher certified","Yes"
"Are they kosher certified?","I don't know but I do have Larks Cak and Candy Supply's ph# 800 441 3141 Hope they are!"
"Are they naturally or artificially flavored?","Artificially - http://www.airheads.com/nutrition.pdf"
"are they none gmo","They have the Non-GMO Project logo on the front of the box. That means that they have gone through a screening process and have been certified to not contain GMO ingredients."
"Are they peeled?","No. you have to soak them overnight and individually peal them when they soften."
"are they produced in a non gluten environment?","Yes. The box says they are produced in a separate specialized facility that is guaranteed gluten free."
"are they raw vegan and organic?","Yes they are ."
"are they raw?","Yes. And sweet. No salt either. Just the real unadulterated thing."
"Are they salted?","No, they are not."
"are they shelled","Yes"
"Are they sour?","Not at all. They are flavorful with a slight edge, but definitely not sour in the least."
"are this peeled tomatoes, I don't like having tomato skins floating in my sauce","Yes"
"Are those safe and able to grow for Sunflower Greens for human consumption?","we use the sprouts for human consumption"
"base plate is plastic . ?","Base plate of what? Is the jar plastic? Yes it is."
"can anyone please share an easy bread machine recipe using this flour?","Take your pick: http://www.bread-machine-recipes.com/"
"Can anyone tell me HOW LONG it is aged? I can't find that on their site or on this Amazon page. Thanks!","I emailed the merchant. They replied at least 18 years."
"can anyone tell me what is the difference between golden and brown flax seeds, not sure which one to choose","Brown flax seed is the original. Golden flax seed was developed in 1989."
"Can coconut flour be used in smoothies?","It would probably give you a really weird texture. It absorbs liquid. I use it in small amounts for baking"
"can i add raisins","of course"
"can I buy this ground for espresso machine - please send link","Yes, from Kicking Horse. https://www.kickinghorsecoffee.com/en/store/coffee/cliff-hanger-espresso-medium"
